imbalance_strategy,fold,pr_auc
class_weight,0,0.11667781236932082
class_weight,1,0.12288611581856743
class_weight,2,0.11493461622061156
class_weight,3,0.12565404206063674
class_weight,4,0.126721117208281
smote,0,0.12164646458915004
smote,1,0.1285009156874286
smote,2,0.1213226909114015
smote,3,0.12629454278995828
smote,4,0.13125832974926047
